黑龙江省,哈尔滨市,黑龙江省,双江拉祜族佤族布朗族傣族自治县,云南省,临沧市,双江拉祜族佤族布朗族傣族自治县,,,
吉林省,黑河市,黑龙江省,积石山保安族东乡族撒拉族自治县,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,,,
辽宁省,伊春市,黑龙江省,镇沅彝族哈尼族拉祜族自治县,云南省,普洱市,镇沅彝族哈尼族拉祜族自治县,,,
北京市,齐齐哈尔市,黑龙江省,元江哈尼族彝族傣族自治县,云南省,玉溪市,元江哈尼族彝族傣族自治县,,,
天津,鹤岗市,黑龙江省,孟连傣族拉祜族佤族自治县,云南省,普洱市,孟连傣族拉祜族佤族自治县,,,
河北省,佳木斯市,黑龙江省,威宁彝族回族苗族自治县,贵州省,毕节地区,威宁彝族回族苗族自治县,,,
山西省,双鸭山市,黑龙江省,前郭尔罗斯蒙古族自治县,吉林省,松原市,前郭尔罗斯蒙古族自治县,,,
内蒙古自治区,绥化市,黑龙江省,莫力达瓦达斡尔族自治旗,内蒙古自治区,呼伦贝尔市,莫力达瓦达斡尔族自治旗,,,
江苏省,大庆市,黑龙江省,喀喇沁左翼蒙古族自治县,辽宁省,朝阳市,喀喇沁左翼蒙古族自治县,,,
浙江省,七台河市,黑龙江省,金平苗族瑶族傣族自治县,云南省,红河哈尼族彝族自治州,金平苗族瑶族傣族自治县,,,
安徽省,鸡西市,黑龙江省,紫云苗族布依族自治县,贵州省,安顺市,紫云苗族布依族自治县,,,
福建省,牡丹江市,黑龙江省,镇宁布依族苗族自治县,贵州省,安顺市,镇宁布依族苗族自治县,,,
江西省,绥芬河市,黑龙江省,酉阳土家族苗族自治县,重庆,重庆市,酉阳土家族苗族自治县,,,
山东省,长春市,吉林省,酉阳土家族苗族自治县,四川省,成都市,酉阳土家族苗族自治县,,,
台湾,白城市,吉林省,印江土家族苗族自治县,贵州省,铜仁地区,印江土家族苗族自治县,,,
河南省,松原市,吉林省,秀山土家族苗族自治县,重庆,重庆市,秀山土家族苗族自治县,,,
湖北省,吉林市,吉林省,务川仡佬族苗族自治县,贵州省,遵义市,务川仡佬族苗族自治县,,,
湖南省,四平市,吉林省,围场满族蒙古族自治县,河北省,承德市,围场满族蒙古族自治县,,,
广东省,辽源市,吉林省,彭水苗族土家族自治县,重庆,重庆市,彭水苗族土家族自治县,,,
广西壮族自治区,白山市,吉林省,宁洱哈尼族彝族自治县,云南省,普洱市,宁洱哈尼族彝族自治县,,,
海南省,通化市,吉林省,兰坪白族普米族自治县,云南省,怒江傈僳族自治州,兰坪白族普米族自治县,,,
四川省,延边朝鲜族自治州,吉林省,江城哈尼族彝族自治县,云南省,普洱市,江城哈尼族彝族自治县,,,
重庆市,沈阳市,辽宁省,和布克赛尔蒙古自治县,新疆维吾尔自治区,塔城地区,和布克赛尔蒙古自治县,,,
贵州省,铁岭市,辽宁省,关岭布依族苗族自治县,贵州省,安顺市,关岭布依族苗族自治县,,,
云南省,阜新市,辽宁省,贡山独龙族怒族自治县,云南省,怒江傈僳族自治州,贡山独龙族怒族自治县,,,
西藏自治区,抚顺市,辽宁省,杜尔伯特蒙古族自治县,黑龙江省,大庆市,杜尔伯特蒙古族自治县,,,
陕西省,本溪市,辽宁省,道真仡佬族苗族自治县,贵州省,遵义市,道真仡佬族苗族自治县,,,
甘肃省,辽阳市,辽宁省,阿克塞哈萨克族自治县,甘肃省,酒泉市,阿克塞哈萨克族自治县,,,
青海省,马鞍山市,安徽省,郑州经济技术开发区,河南省,郑州市,郑州经济技术开发区,,,
宁夏回族自治区,鞍山市,辽宁省,寻甸回族彝族自治县,云南省,昆明市,寻甸回族彝族自治县,,,
新疆维吾尔自治区,盘锦市,辽宁省,新平彝族傣族自治县,云南省,玉溪市,新平彝族傣族自治县,,,
上海,锦州市,辽宁省,巍山彝族回族自治县,云南省,大理白族自治州,巍山彝族回族自治县,,,
香港,葫芦岛市,辽宁省,琼中黎族苗族自治县,海南省,琼中黎族苗族自治县,琼中黎族苗族自治县,,,
澳门,营口市,辽宁省,民和回族土族自治县,青海省,海东地区,民和回族土族自治县,,,
,丹东市,辽宁省,民和回族土族自治县,青海省,海东地区,民和回族土族自治县,,,
,大连市,辽宁省,禄劝彝族苗族自治县,云南省,昆明市,禄劝彝族苗族自治县,,,
,北京市,北京,连山壮族瑶族自治县,广东省,清远市,连山壮族瑶族自治县,,,
,天津市,天津,靖州苗族侗族自治县,湖南省,怀化市,靖州苗族侗族自治县,,,
,石家庄市,河北省,景谷傣族彝族自治县,云南省,普洱市,景谷傣族彝族自治县,,,
,张家口市,河北省,耿马傣族佤族自治县,云南省,临沧市,耿马傣族佤族自治县,,,
,承德市,河北省,东侨经济技术开发区,福建省,宁德市,东侨经济技术开发区,,,
,唐山市,河北省,达尔罕茂明安联合旗,内蒙古自治区,包头市,达尔罕茂明安联合旗,,,
,秦皇岛市,河北省,保亭黎族苗族自治县,海南省,保亭黎族苗族自治县,保亭黎族苗族自治县,,,
,廊坊市,河北省,巴里坤哈萨克自治县,新疆维吾尔自治区,哈密地区,巴里坤哈萨克自治县,,,
,保定市,河北省,高新技术产业开发区,吉林省,长春市,高新技术产业开发区,,,
,沧州市,河北省,长阳土家族自治县,湖北省,宜昌市,长阳土家族自治县,,,
,衡水市,河北省,玉龙纳西族自治县,云南省,丽江市,玉龙纳西族自治县,,,
,,,玉州区,广西壮族自治区,玉林市,玉州区,,,,,,
,,,玉田县,河北省,唐山市,玉田县,,,,,,
,,,玉树市,青海省,玉树藏族自治州,玉树市,,,,,,
,,,玉山县,江西省,上饶市,玉山县,,,,,,
,,,玉泉区,内蒙古自治区,呼和浩特市,玉泉区,,,,,,
,,,玉屏县,贵州省,铜仁地区,玉屏侗族自治县,,,,,,
,,,玉门市,甘肃省,酒泉市,玉门市,,,,,,
,,,玉环县,浙江省,台州市,玉环县,,,,,,
,,,禹州市,河南省,许昌市,禹州市,,,,,,
,,,禹会区,安徽省,蚌埠市,禹会区,,,,,,
,,,禹城市,山东省,德州市,禹城市,,,,,,
,,,雨山区,安徽省,马鞍山市,雨山区,,,,,,
,,,雨花区,湖南省,长沙市,雨花区,,,,,,
,,,雨湖区,湖南省,湘潭市,雨湖区,,,,,,
,,,雨城区,四川省,雅安市,雨城区,,,,,,
,,,虞城县,河南省,商丘市,虞城县,,,,,,
,,,榆中县,甘肃省,兰州市,榆中县,,,,,,
,,,榆阳区,陕西省,榆林市,榆阳区,,,,,,
,,,榆树市,吉林省,长春市,榆树市,,,,,,
,,,榆社县,山西省,晋中市,榆社县,,,,,,
,,,榆次区,山西省,晋中市,榆次区,,,,,,
,,,渝中区,重庆,重庆市,渝中区,,,,,,
,,,渝水区,江西省,新余市,渝水区,,,,,,
,,,渝北区,重庆,重庆市,渝北区,,,,,,
,,,鱼台县,山东省,济宁市,鱼台县,,,,,,
,,,鱼峰区,广西壮族自治区,柳州市,鱼峰区,,,,,,
,,,余姚市,浙江省,宁波市,余姚市,,,,,,
,,,余庆县,贵州省,遵义市,余庆县,,,,,,
,,,余江县,江西省,鹰潭市,余江县,,,,,,
,,,余杭区,浙江省,杭州市,余杭区,,,,,,
,,,余干县,江西省,上饶市,余干县,,,,,,
,,,于田县,新疆维吾尔自治区,和田地区,于田县,,,,,,
,,,于洪区,辽宁省,沈阳市,于洪区,,,,,,
,,,于都县,江西省,赣州市,于都县,,,,,,
,,,右玉县,山西省,朔州市,右玉县,,,,,,
,,,右江区,广西壮族自治区,百色市,右江区,,,,,,
,,,友谊县,黑龙江省,双鸭山市,友谊县,,,,,,
,,,友好区,黑龙江省,伊春市,友好区,,,,,,
,,,游仙区,四川省,绵阳市,游仙区,,,,,,
,,,尤溪县,福建省,三明市,尤溪县,,,,,,
,,,埇桥区,安徽省,宿州市,埇桥区,,,,,,
,,,永修县,江西省,九江市,永修县,,,,,,
,,,永兴县,湖南省,郴州市,永兴县,,,,,,
,,,永新县,江西省,吉安市,永新县,,,,,,
,,,永泰县,福建省,福州市,永泰县,,,,,,
,,,永顺县,湖南省,湘西土家族苗族自治州,永顺县,,,,,,
,,,永寿县,陕西省,咸阳市,永寿县,,,,,,
,,,永胜县,云南省,丽江市,永胜县,,,,,,
,,,永善县,云南省,昭通市,永善县,,,,,,
,,,永仁县,云南省,楚雄彝族自治州,永仁县,,,,,,
,,,永清县,河北省,廊坊市,永清县,,,,,,
,,,永平县,云南省,大理白族自治州,永平县,,,,,,
,,,永宁县,宁夏回族自治区,银川市,永宁县,,,,,,
,,,永年县,河北省,邯郸市,永年县,,,,,,
,,,永康市,浙江省,金华市,永康市,,,,,,
,,,永靖县,甘肃省,临夏回族自治州,永靖县,,,,,,
,,,永嘉县,浙江省,温州市,永嘉县,,,,,,
,,,永济市,山西省,运城市,永济市,,,,,,
,,,永吉县,吉林省,吉林市,永吉县,,,,,,
,,,永和县,山西省,临汾市,永和县,,,,,,
,,,永福县,广西壮族自治区,桂林市,永福县,,,,,,
,,,永丰县,江西省,吉安市,永丰县,,,,,,
,,,永定县,福建省,龙岩市,永定县,已撤销,,,,,
,,,永定区,福建省,龙岩市,永定区,撤永定县，设永定区,,,,,
,,,永定区,湖南省,张家界市,永定区,,,,,,
,,,永登县,甘肃省,兰州市,永登县,,,,,,
,,,永德县,云南省,临沧市,永德县,,,,,,
,,,永春县,福建省,泉州市,永春县,,,,,,
,,,永川区,重庆,重庆市,永川区,,,,,,
,,,永城市,河南省,商丘市,永城市,,,,,,
,,,永昌县,甘肃省,金昌市,永昌县,,,,,,
,,,永安市,福建省,三明市,永安市,,,,,,
,,,邕宁区,广西壮族自治区,南宁市,邕宁区,,,,,,
,,,应城市,湖北省,孝感市,应城市,,,,,,
,,,颍州区,安徽省,阜阳市,颍州区,,,,,,
,,,颍上县,安徽省,阜阳市,颍上县,,,,,,
,,,颍泉区,安徽省,阜阳市,颍泉区,,,,,,
,,,颍东区,安徽省,阜阳市,颍东区,,,,,,
,,,营山县,四川省,南充市,营山县,,,,,,
,,,盈江县,云南省,德宏傣族景颇族自治州,盈江县,,,,,,
,,,荥阳市,河南省,郑州市,荥阳市,,,,,,
,,,荥经县,四川省,雅安市,荥经县,,,,,,
,,,迎泽区,山西省,太原市,迎泽区,,,,,,
,,,迎江区,安徽省,安庆市,迎江区,,,,,,
,,,英山县,湖北省,黄冈市,英山县,,,,,,
,,,英德市,广东省,清远市,英德市,,,,,,
,,,印台区,陕西省,铜川市,印台区,,,,,,
,,,鄞州区,浙江省,宁波市,鄞州区,,,,,,
,,,银州区,辽宁省,铁岭市,银州区,,,,,,
,,,银海区,广西壮族自治区,北海市,银海区,,,,,,
,,,殷都区,河南省,安阳市,殷都区,,,,,,
,,,翼城县,山西省,临汾市,翼城县,,,,,,
,,,驿城区,河南省,驻马店市,驿城区,,,,,,
,,,峄城区,山东省,枣庄市,峄城区,,,,,,
,,,易门县,云南省,玉溪市,易门县,,,,,,
,,,义乌市,浙江省,金华市,义乌市,,,,,,
,,,义马市,河南省,三门峡市,义马市,,,,,,
,,,弋阳县,江西省,上饶市,弋阳县,,,,,,
,,,弋江区,安徽省,芜湖市,弋江区,,,,,,
,,,彝良县,云南省,昭通市,彝良县,,,,,,
,,,宜州市,广西壮族自治区,河池市,宜州市,,,,,,
,,,宜章县,湖南省,郴州市,宜章县,,,,,,
,,,宜阳县,河南省,洛阳市,宜阳县,,,,,,
,,,宜秀区,安徽省,安庆市,宜秀区,,,,,,
,,,宜兴市,江苏省,无锡市,宜兴市,,,,,,
,,,宜良县,云南省,昆明市,宜良县,,,,,,
,,,宜君县,陕西省,铜川市,宜君县,,,,,,
,,,宜黄县,江西省,抚州市,宜黄县,,,,,,
,,,宜丰县,江西省,宜春市,宜丰县,,,,,,
,,,宜都市,湖北省,宜昌市,宜都市,,,,,,
,,,宜川县,陕西省,延安市,宜川县,,,,,,
,,,宜城市,湖北省,襄阳市,宜城市,,,,,,
,,,博山区,山东省,淄博市,博山区,,,,,,
,,,宜宾县,四川省,宜宾市,宜宾县,,,,,,
,,,沂源县,山东省,淄博市,沂源县,,,,,,
,,,沂水县,山东省,临沂市,沂水县,,,,,,
,,,沂南县,山东省,临沂市,沂南县,,,,,,
,,,夷陵区,湖北省,宜昌市,夷陵区,,,,,,
,,,仪征市,江苏省,扬州市,仪征市,,,,,,
,,,仪陇县,四川省,南充市,仪陇县,,,,,,
,,,依兰县,黑龙江省,哈尔滨市,依兰县,,,,,,
,,,依安县,黑龙江省,齐齐哈尔市,依安县,,,,,,
,,,伊吾县,新疆维吾尔自治区,哈密地区,伊吾县,,,,,,
,,,伊宁县,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁县,,,,,,
,,,伊宁市,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁市,,,,,,
,,,伊春区,黑龙江省,伊春市,伊春区,,,,,,
,,,伊川县,河南省,洛阳市,伊川县,,,,,,
,,,叶城县,新疆维吾尔自治区,喀什地区,叶城县,,,,,,
,,,耀州区,陕西省,铜川市,耀州区,,,,,,
,,,瑶海区,安徽省,合肥市,瑶海区,,,,,,
,,,姚安县,云南省,楚雄彝族自治州,姚安县,,,,,,
,,,尧都区,山西省,临汾市,尧都区,,,,,,
,,,杨浦区,上海,上海市,杨浦区,,,,,,
,,,杨陵区,陕西省,咸阳市,杨陵区,,,,,,
,,,阳原县,河北省,张家口市,阳原县,,,,,,
,,,阳信县,山东省,滨州市,阳信县,,,,,,
,,,阳新县,湖北省,黄石市,阳新县,,,,,,
,,,阳西县,广东省,阳江市,阳西县,,,,,,
,,,阳朔县,广西壮族自治区,桂林市,阳朔县,,,,,,
,,,阳山县,广东省,清远市,阳山县,,,,,,
,,,阳曲县,山西省,太原市,阳曲县,,,,,,
,,,阳明区,黑龙江省,牡丹江市,阳明区,,,,,,
,,,阳谷县,山东省,聊城市,阳谷县,,,,,,
,,,阳高县,山西省,大同市,阳高县,,,,,,
,,,阳东县,广东省,阳江市,阳东县,,,,,,
,,,阳春市,广东省,阳江市,阳春市,,,,,,
,,,阳城县,山西省,晋城市,阳城县,,,,,,
,,,扬中市,江苏省,镇江市,扬中市,,,,,,
,,,雁塔区,陕西省,西安市,雁塔区,,,,,,
,,,雁山区,广西壮族自治区,桂林市,雁山区,,,,,,
,,,雁江区,四川省,资阳市,雁江区,,,,,,
,,,雁峰区,湖南省,衡阳市,雁峰区,,,,,,
,,,砚山县,云南省,文山壮族苗族自治州,砚山县,,,,,,
,,,偃师市,河南省,洛阳市,偃师市,,,,,,
,,,郾城区,河南省,漯河市,郾城区,,,,,,
,,,兖州区,山东省,济宁市,兖州区,撤兖州市，设兖州区,,,,,
,,,阎良区,陕西省,西安市,阎良区,,,,,,
,,,盐源县,四川省,凉山彝族自治州,盐源县,,,,,,
,,,盐亭县,四川省,绵阳市,盐亭县,,,,,,
,,,盐田区,广东省,深圳市,盐田区,,,,,,
,,,盐山县,河北省,沧州市,盐山县,,,,,,
,,,盐津县,云南省,昭通市,盐津县,,,,,,
,,,盐湖区,山西省,运城市,盐湖区,,,,,,
,,,盐都区,江苏省,盐城市,盐都区,,,,,,
,,,盐池县,宁夏回族自治区,吴忠市,盐池县,,,,,,
,,,盐边县,四川省,攀枝花市,盐边县,,,,,,
,,,沿滩区,四川省,自贡市,沿滩区,,,,,,
,,,炎陵县,湖南省,株洲市,炎陵县,,,,,,
,,,延长县,陕西省,延安市,延长县,,,,,,
,,,延寿县,黑龙江省,哈尔滨市,延寿县,,,,,,
,,,延庆县,北京,北京市,延庆县,,,,,,
,,,延平区,福建省,南平市,延平区,,,,,,
,,,延津县,河南省,新乡市,延津县,,,,,,
,,,延吉市,吉林省,延边朝鲜族自治州,延吉市,,,,,,
,,,延川县,陕西省,延安市,延川县,,,,,,
,,,鄢陵县,河南省,许昌市,鄢陵县,,,,,,
,,,焉耆县,新疆维吾尔自治区,巴音郭楞蒙古自治州,焉耆回族自治县,,,,,,
,,,亚东县,西藏自治区,日喀则市,亚东县,,,,,,
,,,雅江县,四川省,甘孜藏族自治州,雅江县,,,,,,
,,,崖州区,海南省,三亚市,崖州区,,,,,,
,,,逊克县,黑龙江省,黑河市,逊克县,,,,,,
,,,浔阳区,江西省,九江市,浔阳区,,,,,,
,,,寻乌县,江西省,赣州市,寻乌县,,,,,,
,,,旬邑县,陕西省,咸阳市,旬邑县,,,,,,
,,,旬阳县,陕西省,安康市,旬阳县,,,,,,
,,,薛城区,山东省,枣庄市,薛城区,,,,,,
,,,玄武区,江苏省,南京市,玄武区,,,,,,
,,,宣州区,安徽省,宣城市,宣州区,,,,,,
,,,宣威市,云南省,曲靖市,宣威市,,,,,,
,,,宣化县,河北省,张家口市,宣化县,,,,,,
,,,宣化区,河北省,张家口市,宣化区,,,,,,
,,,宣汉县,四川省,达州市,宣汉县,,,,,,
,,,宣恩县,湖北省,恩施土家族苗族自治州,宣恩县,,,,,,
,,,溆浦县,湖南省,怀化市,溆浦县,,,,,,
,,,叙永县,四川省,泸州市,叙永县,,,,,,
,,,许昌县,河南省,许昌市,许昌县,,,,,,
,,,徐闻县,广东省,湛江市,徐闻县,,,,,,
,,,徐水县,河北省,保定市,徐水县,,,,,,
,,,徐汇区,上海,上海市,徐汇区,,,,,,
,,,盱眙县,江苏省,淮安市,盱眙县,,,,,,
,,,秀洲区,浙江省,嘉兴市,秀洲区,,,,,,
,,,秀屿区,福建省,莆田市,秀屿区,,,,,,
,,,秀英区,海南省,海口市,秀英区,,,,,,
,,,秀山县,四川省,成都市,秀山土家族苗族自治县,,,,,,
,,,秀峰区,广西壮族自治区,桂林市,秀峰区,,,,,,
,,,宿豫区,江苏省,宿迁市,宿豫区,,,,,,
,,,宿松县,安徽省,安庆市,宿松县,,,,,,
,,,宿城区,江苏省,宿迁市,宿城区,,,,,,
,,,修武县,河南省,焦作市,修武县,,,,,,
,,,修文县,贵州省,贵阳市,修文县,,,,,,
,,,修水县,江西省,九江市,修水县,,,,,,
,,,休宁县,安徽省,黄山市,休宁县,,,,,,
,,,兴义市,贵州省,黔西南布依族苗族自治州,兴义市,,,,,,
,,,兴业县,广西壮族自治区,玉林市,兴业县,,,,,,
,,,兴文县,四川省,宜宾市,兴文县,,,,,,
,,,兴山县,湖北省,宜昌市,兴山县,,,,,,
,,,兴山区,黑龙江省,鹤岗市,兴山区,,,,,,
,,,兴仁县,贵州省,黔西南布依族苗族自治州,兴仁县,,,,,,
,,,兴庆区,宁夏回族自治区,银川市,兴庆区,,,,,,
,,,兴平市,陕西省,咸阳市,兴平市,,,,,,
,,,兴宁市,广东省,梅州市,兴宁市,,,,,,
,,,兴宁区,广西壮族自治区,南宁市,兴宁区,,,,,,
,,,兴隆县,河北省,承德市,兴隆县,,,,,,
,,,兴化市,江苏省,泰州市,兴化市,,,,,,
,,,兴和县,内蒙古自治区,乌兰察布市,兴和县,,,,,,
,,,兴海县,青海省,海南藏族自治州,兴海县,,,,,,
,,,兴国县,江西省,赣州市,兴国县,,,,,,
,,,兴城市,辽宁省,葫芦岛市,兴城市,,,,,,
,,,兴宾区,广西壮族自治区,来宾市,兴宾区,,,,,,
,,,兴安县,广西壮族自治区,桂林市,兴安县,,,,,,
,,,兴安区,黑龙江省,鹤岗市,兴安区,,,,,,
,,,邢台县,河北省,邢台市,邢台县,,,,,,
,,,星子县,江西省,九江市,星子县,,,,,,
,,,信州区,江西省,上饶市,信州区,,,,,,
,,,信宜市,广东省,茂名市,信宜市,,,,,,
,,,信丰县,江西省,赣州市,信丰县,,,,,,
,,,新洲区,湖北省,武汉市,新洲区,,,,,,
,,,新郑市,河南省,郑州市,新郑市,,,,,,
,,,新源县,新疆维吾尔自治区,伊犁哈萨克自治州,新源县,,,,,,
,,,新沂市,江苏省,徐州市,新沂市,,,,,,
,,,新野县,河南省,南阳市,新野县,,,,,,
,,,新兴县,广东省,云浮市,新兴县,,,,,,
,,,新兴区,黑龙江省,七台河市,新兴区,,,,,,
,,,新乡县,河南省,新乡市,新乡县,,,,,,
,,,新田县,湖南省,永州市,新田县,,,,,,
,,,新泰市,山东省,泰安市,新泰市,,,,,,
,,,新市区,河北省,保定市,新市区,,,,,,
,,,新市区,新疆维吾尔自治区,乌鲁木齐市,新市区,,,,,,
,,,新邵县,湖南省,邵阳市,新邵县,,,,,,
,,,新荣区,山西省,大同市,新荣区,,,,,,
,,,新邱区,辽宁省,阜新市,新邱区,,,,,,
,,,新青区,黑龙江省,伊春市,新青区,,,,,,
,,,新民市,辽宁省,沈阳市,新民市,,,,,,
,,,新密市,河南省,郑州市,新密市,,,,,,
,,,新罗区,福建省,龙岩市,新罗区,,,,,,
,,,新龙县,四川省,甘孜藏族自治州,新龙县,,,,,,
,,,新乐市,河北省,石家庄市,新乐市,,,,,,
,,,新津县,四川省,成都市,新津县,,,,,,
,,,新绛县,山西省,运城市,新绛县,,,,,,
,,,新建县,江西省,南昌市,新建县,,,,,,
,,,新会区,广东省,江门市,新会区,,,,,,
,,,新化县,湖南省,娄底市,新化县,,,,,,
,,,新华区,河北省,石家庄市,新华区,,,,,,
,,,新华区,河北省,沧州市,新华区,,,,,,
,,,新华区,河南省,平顶山市,新华区,,,,,,
,,,新和县,新疆维吾尔自治区,阿克苏地区,新和县,,,,,,
,,,新干县,江西省,吉安市,新干县,,,,,,
,,,新抚区,辽宁省,抚顺市,新抚区,,,,,,
,,,新丰县,广东省,韶关市,新丰县,,,,,,
,,,新都区,四川省,成都市,新都区,,,,,,
,,,新昌县,浙江省,绍兴市,新昌县,,,,,,
,,,新蔡县,河南省,驻马店市,新蔡县,,,,,,
,,,新北区,江苏省,常州市,新北区,,,,,,
,,,新安县,河南省,洛阳市,新安县,,,,,,
,,,忻府区,山西省,忻州市,忻府区,,,,,,
,,,忻城县,广西壮族自治区,来宾市,忻城县,,,,,,
,,,辛集市,河北省,石家庄市,辛集市,,,,,,
,,,孝义市,山西省,吕梁市,孝义市,,,,,,
,,,孝南区,湖北省,孝感市,孝南区,,,,,,
,,,孝昌县,湖北省,孝感市,孝昌县,,,,,,
,,,小金县,四川省,阿坝藏族羌族自治州,小金县,,,,,,
,,,小店区,山西省,太原市,小店区,,,,,,
,,,猇亭区,湖北省,宜昌市,猇亭区,,,,,,
,,,萧山区,浙江省,杭州市,萧山区,,,,,,
,,,象州县,广西壮族自治区,来宾市,象州县,,,,,,
,,,象山县,浙江省,宁波市,象山县,,,,,,
,,,象山区,广西壮族自治区,桂林市,象山区,,,,,,
,,,项城市,河南省,周口市,项城市,,,,,,
,,,向阳区,黑龙江省,佳木斯市,向阳区,,,,,,
,,,向阳区,黑龙江省,鹤岗市,向阳区,,,,,,
,,,响水县,江苏省,盐城市,响水县,,,,,,
,,,翔安区,福建省,厦门市,翔安区,,,,,,
,,,祥云县,云南省,大理白族自治州,祥云县,,,,,,
,,,镶黄旗,内蒙古自治区,锡林郭勒盟,镶黄旗,,,,,,
,,,襄州区,湖北省,襄阳市,襄州区,,,,,,
,,,襄垣县,山西省,长治市,襄垣县,,,,,,
,,,襄汾县,山西省,临汾市,襄汾县,,,,,,
,,,襄城县,河南省,许昌市,襄城县,,,,,,
,,,襄城区,湖北省,襄阳市,襄城区,,,,,,
,,,湘阴县,湖南省,岳阳市,湘阴县,,,,,,
,,,湘乡市,湖南省,湘潭市,湘乡市,,,,,,
,,,湘潭县,湖南省,湘潭市,湘潭县,,,,,,
,,,湘桥区,广东省,潮州市,湘桥区,,,,,,
,,,湘东区,江西省,萍乡市,湘东区,,,,,,
,,,香洲区,广东省,珠海市,香洲区,,,,,,
,,,香河县,河北省,廊坊市,香河县,,,,,,
,,,香坊区,黑龙江省,哈尔滨市,香坊区,,,,,,
,,,相山区,安徽省,淮北市,相山区,,,,,,
,,,相城区,江苏省,苏州市,相城区,,,,,,
,,,芗城区,福建省,漳州市,芗城区,,,,,,
,,,乡宁县,山西省,临汾市,乡宁县,,,,,,
,,,乡城县,四川省,甘孜藏族自治州,乡城县,,,,,,
,,,咸丰县,湖北省,恩施土家族苗族自治州,咸丰县,,,,,,
,,,咸安区,湖北省,咸宁市,咸安区,,,,,,
,,,仙游县,福建省,莆田市,仙游县,,,,,,
,,,仙桃市,湖北省,省直辖,仙桃市,,,,,,
,,,仙居县,浙江省,台州市,仙居县,,,,,,
,,,夏邑县,河南省,商丘市,夏邑县,,,,,,
,,,夏津县,山东省,德州市,夏津县,,,,,,
,,,夏河县,甘肃省,甘南藏族自治州,夏河县,,,,,,
,,,大港区,天津,天津市,大港区,,,,,,
,,,下陆区,湖北省,黄石市,下陆区,,,,,,
,,,下城区,浙江省,杭州市,下城区,,,,,,
,,,霞山区,广东省,湛江市,霞山区,,,,,,
,,,霞浦县,福建省,宁德市,霞浦县,,,,,,
,,,峡江县,江西省,吉安市,峡江县,,,,,,
,,,细河区,辽宁省,阜新市,细河区,,,,,,
,,,喜德县,四川省,凉山彝族自治州,喜德县,,,,,,
,,,习水县,贵州省,遵义市,习水县,,,,,,
,,,溪湖区,辽宁省,本溪市,溪湖区,,,,,,
,,,锡山区,江苏省,无锡市,锡山区,,,,,,
,,,淅川县,河南省,南阳市,淅川县,,,,,,
,,,浠水县,湖北省,黄冈市,浠水县,,,,,,
,,,息烽县,贵州省,贵阳市,息烽县,,,,,,
,,,昔阳县,山西省,晋中市,昔阳县,,,,,,
,,,西秀区,贵州省,安顺市,西秀区,,,,,,
,,,西乡县,陕西省,汉中市,西乡县,,,,,,
,,,西夏区,宁夏回族自治区,银川市,西夏区,,,,,,
,,,西峡县,河南省,南阳市,西峡县,,,,,,
,,,西市区,辽宁省,营口市,西市区,,,,,,
,,,西山区,云南省,昆明市,西山区,,,,,,
,,,西青区,天津,天津市,西青区,,,,,,
,,,西平县,河南省,驻马店市,西平县,,,,,,
,,,西陵区,湖北省,宜昌市,西陵区,,,,,,
,,,西林县,广西壮族自治区,百色市,西林县,,,,,,
,,,西林区,黑龙江省,伊春市,西林区,,,,,,
,,,西吉县,宁夏回族自治区,固原市,西吉县,,,,,,
,,,西华县,河南省,周口市,西华县,,,,,,
,,,西湖区,浙江省,杭州市,西湖区,,,,,,
,,,西湖区,江西省,南昌市,西湖区,,,,,,
,,,西和县,甘肃省,陇南市,西和县,,,,,,
,,,西固区,甘肃省,兰州市,西固区,,,,,,
,,,西工区,河南省,洛阳市,西工区,,,,,,
,,,西岗区,辽宁省,大连市,西岗区,,,,,,
,,,西峰区,甘肃省,庆阳市,西峰区,,,,,,
,,,西丰县,辽宁省,铁岭市,西丰县,,,,,,
,,,西畴县,云南省,文山壮族苗族自治州,西畴县,,,,,,
,,,西充县,四川省,南充市,西充县,,,,,,
,,,西城区,北京,北京市,西城区,,,,,,
,,,西昌市,四川省,凉山彝族自治州,西昌市,,,,,,
,,,西安区,黑龙江省,牡丹江市,西安区,,,,,,
,,,西安区,吉林省,辽源市,西安区,,,,,,
,,,婺源县,江西省,上饶市,婺源县,,,,,,
,,,婺城区,浙江省,金华市,婺城区,,,,,,
,,,舞阳县,河南省,漯河市,舞阳县,,,,,,
,,,舞钢市,河南省,平顶山市,舞钢市,,,,,,
,,,武陟县,河南省,焦作市,武陟县,,,,,,
,,,武邑县,河北省,衡水市,武邑县,,,,,,
,,,武义县,浙江省,金华市,武义县,,,,,,
,,,武穴市,湖北省,黄冈市,武穴市,,,,,,
,,,武宣县,广西壮族自治区,来宾市,武宣县,,,,,,
,,,武乡县,山西省,长治市,武乡县,,,,,,
,,,武胜县,四川省,广安市,武胜县,,,,,,
,,,武山县,甘肃省,天水市,武山县,,,,,,
,,,武清区,天津,天津市,武清区,,,,,,
,,,武强县,河北省,衡水市,武强县,,,,,,
,,,武平县,福建省,龙岩市,武平县,,,,,,
,,,武宁县,江西省,九江市,武宁县,,,,,,
,,,武宁县,湖南省,邵阳市,武宁县,,,,,,
